date,date_precision,kind,title,actor,notes,source,confidence
1810-05-25,day,presidency_start,Asume Primera Junta,Junta de gobierno,Modo de acceso: junta_revolucionaria. Junta constituida tras la Revolución de Mayo; sucesivas reorganizaciones internas (Junta Grande desde dic. 1810).,"general_knowledge (hecho publico, pendiente de revision independiente segun PLAN_ARGENTINA.md #0.2)",medium
1811-09-23,day,presidency_end,Cesa Primera Junta,Junta de gobierno,Modo de salida: succession. Junta constituida tras la Revolución de Mayo; sucesivas reorganizaciones internas (Junta Grande desde dic. 1810).,"general_knowledge (hecho publico, pendiente de revision independiente segun PLAN_ARGENTINA.md #0.2)",medium
1811-09-23,day,presidency_start,Asume Primer Triunvirato,Triunvirato,Modo de acceso: congress. Depuesto por un movimiento militar el 8 de octubre de 1812.,"general_knowledge (hecho publico, pendiente de revision independiente segun PLAN_ARGENTINA.md #0.2)",medium
1812-10-08,day,presidency_end,Cesa Primer Triunvirato,Triunvirato,Modo de salida: coup. Depuesto por un movimiento militar el 8 de octubre de 1812.,"general_knowledge (hecho publico, pendiente de revision independiente segun PLAN_ARGENTINA.md #0.2)",medium
1812-10-08,day,presidency_start,Asume Segundo Triunvirato,Triunvirato,Modo de acceso: congress. Reemplazado por el Directorio tras la Asamblea del Año XIII.,"general_knowledge (hecho publico, pendiente de revision independiente segun PLAN_ARGENTINA.md #0.2)",medium
1814-01-31,day,presidency_end,Cesa Segundo Triunvirato,Triunvirato,Modo de salida: congress. Reemplazado por el Directorio tras la Asamblea del Año XIII.,"general_knowledge (hecho publico, pendiente de revision independiente segun PLAN_ARGENTINA.md #0.2)",medium
1814-01-31,day,presidency_start,Asume Gervasio Antonio de Posadas,Director Supremo,Modo de acceso: congress. Primer Director Supremo de las Provincias Unidas.,"general_knowledge (hecho publico, pendiente de revision independiente segun PLAN_ARGENTINA.md #0.2)",medium
1815-04-09,day,presidency_end,Cesa Gervasio Antonio de Posadas,Director Supremo,Modo de salida: resignation. Primer Director Supremo de las Provincias Unidas.,"general_knowledge (hecho publico, pendiente de revision independiente segun PLAN_ARGENTINA.md #0.2)",medium
1815-04-09,day,presidency_start,Asume Carlos María de Alvear,Director Supremo,Modo de acceso: succession. Depuesto a los pocos días por un movimiento de Fontezuelas.,"general_knowledge (hecho publico, pendiente de revision independiente segun PLAN_ARGENTINA.md #0.2)",medium
1815-04-18,day,presidency_end,Cesa Carlos María de Alvear,Director Supremo,Modo de salida: coup. Depuesto a los pocos días por un movimiento de Fontezuelas.,"general_knowledge (hecho publico, pendiente de revision independiente segun PLAN_ARGENTINA.md #0.2)",medium
1815-04-18,day,presidency_start,Asume Ignacio Álvarez Thomas (interino),Director Supremo,Modo de acceso: succession. Director sustituto.,"general_knowledge (hecho publico, pendiente de revision independiente segun PLAN_ARGENTINA.md #0.2)",medium
1816-02-16,day,presidency_end,Cesa Ignacio Álvarez Thomas (interino),Director Supremo,Modo de salida: congress. Director sustituto.,"general_knowledge (hecho publico, pendiente de revision independiente segun PLAN_ARGENTINA.md #0.2)",medium
1816-02-16,day,presidency_start,Asume Juan Martín de Pueyrredón,Director Supremo,"Modo de acceso: congress. Designado por el Congreso de Tucumán, que declaró la independencia el 9-jul-1816.","general_knowledge (hecho publico, pendiente de revision independiente segun PLAN_ARGENTINA.md #0.2)",high
1819-06-09,day,presidency_end,Cesa Juan Martín de Pueyrredón,Director Supremo,"Modo de salida: resignation. Designado por el Congreso de Tucumán, que declaró la independencia el 9-jul-1816.","general_knowledge (hecho publico, pendiente de revision independiente segun PLAN_ARGENTINA.md #0.2)",high
1819-06-09,day,presidency_start,Asume José Rondeau,Director Supremo,Modo de acceso: congress. Cae tras la batalla de Cepeda (feb. 1820) y la disolución del poder central: 'Anarquía del Año XX'.,"general_knowledge (hecho publico, pendiente de revision independiente segun PLAN_ARGENTINA.md #0.2)",medium
