id,name,region,population_2022,main_sector,dependence_on_transfers,dependence_reasoning,source,confidence
caba,Ciudad Autónoma de Buenos Aires,CABA,3120612,servicios financieros y profesionales,0.05,"Es la jurisdicción con mayor autonomía fiscal (recursos propios altos, baja dependencia de coparticipación); financia la Ciudad con ingresos brutos propios.","general_knowledge (cifras de Censo Nacional 2022, redondeadas segun difusion publica habitual; no se hallo un mirror de GitHub con los totales definitivos por provincia -- se probo RodriDuran/censo2022arg, que procesa microdatos REDATAM del sitio oficial censo.gob.ar, bloqueado desde este entorno. Confianza media: verificar contra INDEC/censo.gob.ar.)",medium
buenos_aires,Buenos Aires,GBA,17569053,industria manufacturera y servicios (Conurbano) / agroindustria (interior),0.35,"Mayor economía provincial y mayor recaudación propia, pero el Conurbano concentra alta necesidad de asistencia social nacional.","general_knowledge (cifras de Censo Nacional 2022, redondeadas segun difusion publica habitual; no se hallo un mirror de GitHub con los totales definitivos por provincia -- se probo RodriDuran/censo2022arg, que procesa microdatos REDATAM del sitio oficial censo.gob.ar, bloqueado desde este entorno. Confianza media: verificar contra INDEC/censo.gob.ar.)",medium
la_pampa,La Pampa,Pampeana,366022,"agroindustria (cereales, oleaginosas, ganadería)",0.55,Provincia chica con base tributaria agropecuaria limitada; depende de coparticipación para gasto corriente.,"general_knowledge (cifras de Censo Nacional 2022, redondeadas segun difusion publica habitual; no se hallo un mirror de GitHub con los totales definitivos por provincia -- se probo RodriDuran/censo2022arg, que procesa microdatos REDATAM del sitio oficial censo.gob.ar, bloqueado desde este entorno. Confianza media: verificar contra INDEC/censo.gob.ar.)",medium
entre_rios,Entre Ríos,Pampeana,1426426,"agroindustria (avicultura, cítricos, cereales)",0.5,Recaudación propia moderada; transferencias nacionales relevantes para infraestructura y salarios.,"general_knowledge (cifras de Censo Nacional 2022, redondeadas segun difusion publica habitual; no se hallo un mirror de GitHub con los totales definitivos por provincia -- se probo RodriDuran/censo2022arg, que procesa microdatos REDATAM del sitio oficial censo.gob.ar, bloqueado desde este entorno. Confianza media: verificar contra INDEC/censo.gob.ar.)",medium
cordoba,Córdoba,Córdoba–Santa Fe,3840905,agroindustria y manufactura automotriz,0.3,Segunda economía provincial del país; base tributaria amplia (Ingresos Brutos) reduce la dependencia relativa de transferencias.,"general_knowledge (cifras de Censo Nacional 2022, redondeadas segun difusion publica habitual; no se hallo un mirror de GitHub con los totales definitivos por provincia -- se probo RodriDuran/censo2022arg, que procesa microdatos REDATAM del sitio oficial censo.gob.ar, bloqueado desde este entorno. Confianza media: verificar contra INDEC/censo.gob.ar.)",medium
santa_fe,Santa Fe,Córdoba–Santa Fe,3556522,agroindustria y complejo oleaginoso-portuario,0.3,Polo exportador agroindustrial (Rosario) con recaudación propia significativa.,"general_knowledge (cifras de Censo Nacional 2022, redondeadas segun difusion publica habitual; no se hallo un mirror de GitHub con los totales definitivos por provincia -- se probo RodriDuran/censo2022arg, que procesa microdatos REDATAM del sitio oficial censo.gob.ar, bloqueado desde este entorno. Confianza media: verificar contra INDEC/censo.gob.ar.)",medium
catamarca,Catamarca,NOA,429556,"minería (litio, cobre/oro) y sector público",0.75,Estructura productiva concentrada en minería de enclave y empleo público; baja base tributaria propia.,"general_knowledge (cifras de Censo Nacional 2022, redondeadas segun difusion publica habitual; no se hallo un mirror de GitHub con los totales definitivos por provincia -- se probo RodriDuran/censo2022arg, que procesa microdatos REDATAM del sitio oficial censo.gob.ar, bloqueado desde este entorno. Confianza media: verificar contra INDEC/censo.gob.ar.)",medium
jujuy,Jujuy,NOA,797955,"minería (litio) y agroindustria (tabaco, azúcar)",0.7,Alta proporción de empleo público provincial; recursos propios limitados fuera de regalías mineras.,"general_knowledge (cifras de Censo Nacional 2022, redondeadas segun difusion publica habitual; no se hallo un mirror de GitHub con los totales definitivos por provincia -- se probo RodriDuran/censo2022arg, que procesa microdatos REDATAM del sitio oficial censo.gob.ar, bloqueado desde este entorno. Confianza media: verificar contra INDEC/censo.gob.ar.)",medium
la_rioja,La Rioja,NOA,384607,"agroindustria (olivicultura, vid) y textil promovida",0.8,Economía chica con fuerte peso de regímenes de promoción industrial financiados nacionalmente.,"general_knowledge (cifras de Censo Nacional 2022, redondeadas segun difusion publica habitual; no se hallo un mirror de GitHub con los totales definitivos por provincia -- se probo RodriDuran/censo2022arg, que procesa microdatos REDATAM del sitio oficial censo.gob.ar, bloqueado desde este entorno. Confianza media: verificar contra INDEC/censo.gob.ar.)",medium
salta,Salta,NOA,1440672,"agroindustria (poroto, tabaco, soja) y turismo",0.65,Base tributaria propia insuficiente para el gasto provincial; alta dependencia de ATN y coparticipación.,"general_knowledge (cifras de Censo Nacional 2022, redondeadas segun difusion publica habitual; no se hallo un mirror de GitHub con los totales definitivos por provincia -- se probo RodriDuran/censo2022arg, que procesa microdatos REDATAM del sitio oficial censo.gob.ar, bloqueado desde este entorno. Confianza media: verificar contra INDEC/censo.gob.ar.)",medium
